model,task_1Seconds,task_2Seconds,iscontrol,searchornot
GPT4o,1569.625,412.515,0,1
GPT4o,1190.675,484.766,0,1
GPT4o,1071.396,1093.654,1,1
GPT4o,2345.169,1402.128,1,1
GPT4o,1982.864,1680.792,0,1
GPT4o,1298.197,925.06,1,1
GPT4o,1677.283,388.607,0,1
GPT4o,2113.701,1570.378,0,1
GPT4o,111.924,2078.655,1,1
GPT4o,641.066,556.61,0,1
GPT4o,1212.837,1189.288,0,1
GPT4o,675.615,500.277,0,1
GPT4o,2333.836,921.999,1,1
GPT4o,1030.997,1232.157,0,1
GPT4o,1559.537,619.706,1,1
GPT4o,2159.191,1219.111,1,1
GPT4o,866.217,716.502,0,1
GPT4o,603.566,565.557,0,1
GPT4o,955.812,552.107,1,1
GPT4o,1071.718,517.481,1,1
GPT4o,745.531,844.65,1,1
GPT4o,775.006,284.459,0,1
GPT4o,908.354,998.765,1,1
GPT4o,1979.325,1159.748,1,1
GPT4o,1483.651,1423.807,0,1
GPT4o,753.637,557.38,0,1
GPT4o,867.934,970.685,1,1
GPT4o,2216.199,1154.412,1,1
GPT4o,400.184,355.629,0,1
GPT4o,962.966,522.626,0,1
GPT4o,548.986,367,1,1
GPT4o,1246.008,1076.866,0,1
GPT4o,1122.748,760.055,0,1
GPT4o,624.6,376.259,1,1
GPT4o,2247.663,823.066,1,1
GPT4o,2281.679,821.314,1,1
GPT4o,934.3,1029.592,1,1
GPT4o,1350.633,916.71,0,1
GPT4o,1800.351,663.645,1,1
GPT4o,2094.105,1048.148,0,1
GPT4o,1757.821,822.103,0,1
GPT4o,1384.305,1043.741,1,1
GPT4o,3182.317,1953.963,0,1
GPT4o,1127.679,1217.088,0,1
GPT4o,1080.877,532.28,0,1
GPT4o,895.308,616.251,1,1
GPT4o,1424.308,740.411,1,1
GPT4o,1175.407,945.076,0,1
GPT4o,1752.057,148.476,1,1
GPT4o,1621.251,478.378,1,1
GPT4o,1362.951,1108.074,1,1
GPT4o,2976.042,2878.858,0,1
GPT4o,738.314,942.932,0,1
GPT4o,2449.463,1133.498,1,1
GPT4o,1816.889,1349.823,0,1
GPT4o,951.428,653.574,0,1
GPT4o,1240.898,597.941,0,1
GPT4o,810.018,165.385,1,1
GPT4o,1417.678,192.81,1,1
GPT4o,1566.241,1233.08,1,1
GPT4o,2056.013,772.65,1,1
GPT4o,2243.708,1149.219,1,1
GPT4o,1116.425,1327.639,0,1
GPT4o,1506.136,1051.701,0,1
GPT4o,871.528,498.537,1,1
GPT4o,1119.029,715.434,0,1
GPT4o,1036.201,1247.35,0,1
GPT4o,1241.282,1131.969,1,1
GPT4o,604.965,77.578,1,1
GPT4o,3119.33,2439.717,0,1
GPT4o,896.234,1436.239,0,1
GPT4o,893.983,1063.803,1,1
GPT4o,1138.742,676.807,1,1
GPT4o,866.764,1468.845,1,1
GPT4o,1809.362,556.015,1,1
GPT4o,848.844,1249.816,0,1
GPT4o,1978.252,851.941,0,1
GPT4o,1712.515,1119.031,1,1
GPT4o,1491.51,1221.14,1,1
GPT4o,1369.867,1524.011,0,1
GPT4o,1256.4,1038.303,0,1
GPT4o,715.657,438.081,1,1
GPT4o,1021.157,1099.192,1,1
GPT4o,1231.717,834.296,0,1
GPT4o,1248.263,1127.381,1,1
GPT4o,1830.56,829.334,0,1
GPT4o,872.769,712.243,0,1
GPT4o,720.143,774.056,0,1
GPT4o,520.697,508.944,0,1
GPT4o,1509.254,2450.49,0,1
GPT4o,1599.934,1408.942,1,1
GPT4o,1341.737,953.44,0,1
GPT4o,681.534,203.966,0,1
GPT4o,2236.01,1065.529,1,1
GPT4o,1098.327,598.926,1,1
GPT4o,1696.656,1187.198,0,1
GPT4o,935.013,690.069,1,1
GPT4o,1747.209,748.18,0,1
GPT4o,1478.514,1154.215,0,1
GPT4o,1520.216,804.04,1,1
GPT4o,1371.699,1489.146,0,1
GPT4o,1617.944,911.049,1,1
GPT4o,1434.095,771.453,1,1
GPT4o,1162.329,1006.793,1,1
GPT4o,1247.969,1351.48,0,1
GPT4o,1890.291,978.789,0,1
GPT4o,890.988,644.947,0,1
GPT4o,853.847,941.835,1,1
GPT4o,614.049,530.156,0,1
GPT4o,1140.605,3742.235,0,1
GPT4o,1912.79,565.823,1,1
GPT4o,1210.338,724.58,0,1
GPT4o,2193.001,940.689,0,1
GPT4o,684.529,629.394,1,1
GPT4o,828.112,1072.138,0,1
GPT4o,990.728,1465.255,0,1
GPT4o,1002.624,1704.676,1,1
GPT4o,1652.401,1295.523,0,1
GPT4o,3501.554,724.725,0,1
GPT4o,728.191,942.156,0,1
GPT4o,1084.739,1494.896,1,1
GPT4o,1808.103,658.449,0,1
GPT4o,957.017,802.99,1,1
GPT4o,265.721,280.586,0,1
GPT4o,1069.666,652.49,1,1
GPT4o,1980.3,1135.337,1,1
GPT4o,987.604,1507.348,1,1
GPT4o,1764.842,1948.855,1,1
GPT4o,1047.825,906.362,0,1
GPT4o,1330.811,975.259,1,1
GPT4o,1181.077,661.034,1,1
