model,compliance,searchornot
GPT4o,0.8,1
GPT4o,0.5,1
GPT4o,0.8,1
GPT4o,0.7,1
GPT4o,0.7,1
GPT4o,0.8,1
GPT4o,0.7,1
GPT4o,0.4,1
GPT4o,0.3,1
GPT4o,0.5,1
GPT4o,0.4,1
GPT4o,0.4,1
GPT4o,0.3,1
GPT4o,0.3,1
GPT4o,0.4,1
GPT4o,0.4,1
GPT4o,0.6,1
GPT4o,0.3,1
GPT4o,0.4,1
GPT4o,0.7,1
GPT4o,0.2,1
GPT4o,0.2,1
GPT4o,0.6,1
GPT4o,0.2,1
GPT4o,0.4,1
GPT4o,0.9,1
GPT4o,0.9,1
GPT4o,0.5,1
GPT4o,0.5,1
GPT4o,0.4,1
GPT4o,0.4,1
GPT4o,0.7,1
GPT4o,0.6,1
GPT4o,0.4,1
GPT4o,0.6,1
GPT4o,0.8,1
GPT4o,0.4,1
GPT4o,0.4,1
GPT4o,0.6,1
GPT4o,0.5,1
GPT4o,0.8,1
GPT4o,0.7,1
GPT4o,0.2,1
GPT4o,0.4,1
GPT4o,0.7,1
GPT4o,0.3,1
GPT4o,0.8,1
GPT4o,0.5,1
GPT4o,0.3,1
GPT4o,0.7,1
GPT4o,0.8,1
GPT4o,0.5,1
GPT4o,0.7,1
GPT4o,0.3,1
GPT4o,0.7,1
GPT4o,0.6,1
GPT4o,0.5,1
GPT4o,0.5,1
GPT4o,0.8,1
GPT4o,0.6,1
GPT4o,0.4,1
GPT4o,0.5,1
GPT4o,0.1,1
GPT4o,0.6,1
GPT4o,0.7,1
GPT4o,0.5,1
GPT4o,0.3,1
GPT4o,0.8,1
GPT4o,0.3,1
GPT4o,0.9,1
GPT4o,0.6,1
GPT4o,0.6,1
GPT4o,0.7,1
GPT4o,0.4,1
GPT4o,0.6,1
GPT4o,0.7,1
GPT4o,0.7,1
GPT4o,0.8,1
GPT4o,0.4,1
GPT4o,0.6,1
GPT4o,0.7,1
GPT4o,0.7,1
GPT4o,0.5,1
GPT4o,0.9,1
GPT4o,0.6,1
GPT4o,0.4,1
GPT4o,0.7,1
