,age,age,gender,gender,ethnicity,ethnicity,region,region,income,income,religion,religion,education,education,vote,vote,brexit,brexit,disabled,disabled,mental_health,mental_health,chatbot_use,chatbot_use
,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage,Frequency,Percentage
26_35,949.0,33.20503848845347,,,,,,,,,,,,,,,,,,,,,,
36_45,610.0,21.343596920923723,,,,,,,,,,,,,,,,,,,,,,
18_25,536.0,18.754373687893633,,,,,,,,,,,,,,,,,,,,,,
46_55,415.0,14.520643806857942,,,,,,,,,,,,,,,,,,,,,,
56_65,261.0,9.132260321903429,,,,,,,,,,,,,,,,,,,,,,
66_over,77.0,2.6941917424772566,,,,,,,,,,,,,,,,,,,,,,
missing,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284,10.0,0.34989503149055284
male,,,1220.0,42.687193841847446,,,,,,,,,,,,,,,,,,,,
female,,,1195.0,41.812456263121064,,,,,,,,,,,,,,,,,,,,
prefer_not_to_say,,,359.0,12.561231630510846,359.0,12.561231630510846,359.0,12.561231630510846,359.0,12.561231630510846,359.0,12.561231630510846,359.0,12.561231630510846,359.0,12.561231630510846,359.0,12.561231630510846,359.0,12.561231630510846,359.0,12.561231630510846,,
other,,,63.0,2.2043386983904827,,,63.0,2.2043386983904827,,,,,,,62.0,2.1693491952414274,,,,,,,,
non_binary,,,11.0,0.3848845346396081,,,,,,,,,,,,,,,,,,,,
white,,,,,1771.0,61.966410076976906,,,,,,,,,,,,,,,,,,
black,,,,,417.0,14.590622813156054,,,,,,,,,,,,,,,,,,
asian,,,,,179.0,6.263121063680896,,,,,,,,,,,,,,,,,,
mixed,,,,,106.0,3.7088873337998605,,,,,,,,,,,,,,,,,,
other_ethnic,,,,,16.0,0.5598320503848845,,,,,,,,,,,,,,,,,,
london,,,,,,,359.0,12.561231630510846,,,,,,,,,,,,,,,,
south_east,,,,,,,322.0,11.266620013995801,,,,,,,,,,,,,,,,
north_west,,,,,,,310.0,10.846745976207139,,,,,,,,,,,,,,,,
yorkshire,,,,,,,229.0,8.01259622113366,,,,,,,,,,,,,,,,
west_midlands,,,,,,,216.0,7.557732680195942,,,,,,,,,,,,,,,,
