ID,Q1a_1,Q1a_2,Q1a_3,Q1a_4,Q1a_5,Q1a_6,Q1a_7,Q1a_8,Q1a_9,Q1a_10,Q1b_1,Q1b_2,Q1b_3,Q1b_4,Q1b_5,Q1b_6,Q1b_7,Q1b_8,Q1c,Q1d_1,Q1d_2,Q1d_3,Q1d_4,Q1d_5,Q1d_6,Q1d_7,Q1d_8,Q1d_9,Q1e_1,Q1e_2,Q1e_3,Q1e_4,Q1e_5,Q1e_6,Q1e_7,Q1e_8,Q2a,Q2b,Q2c,Q3a_1,Q3a_2,Q3a_3,Q3b,Q3c,Q3d,Q4a_1,Q4a_2,Q4a_3,Q4a_4,Q4a_5,Q4a_6,Q4a_7,Q4a_8,Q4b_1,Q4b_2,Q4b_3,Q4b_4,Q4b_5,Q4b_6,Q4b_7,Q4c,Q4d,Q5a_1,Q5a_2,Q5a_3,Q5a_4,Q5a_5,Q5a_6,Q5a_7,Q5a_8,Q5a_9,Q5a_10,Q5a_11,Q5a_12,Q5a_13,Q5b,Q5c,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j
P0001,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,2,5,1,1, , , , , , , , , , , , , , , , , ,5,5,3,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0002,0,0,0,0,1,0,0,1,0,0,3,5,5,5,2,3,3,2,1, , , , , , , , , , , , , , , , , ,5,5,3,1,1,2,2,2, ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0003,0,1,1,1,0,1,0,1,0,0,2,2,2,2,3,2,3,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,2,1,1,1,2,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,4,3,3,3,1
P0004,0,1,0,0,1,1,0,0,0,0,2,2,5,5,1,2,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,1,2,2,2, ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0005,0,1,0,0,1,0,0,1,0,0,2,2,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,3,4,1,1,1,2,2,2, ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0006,0,1,0,0,1,1,0,0,0,0,2,2,2,1,4,2,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,3,2,1,1,1,2,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,2,3, , , , , , , , , , , , , , , , , , , , , 
P0007,0,0,0,0,1,0,1,1,0,0,3,2,2,4,3,1,2,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3,2,1,1,1,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,1,1,1,2
P0008,1,1,1,1,1,1,1,1,0,0,2,2,2,2,3,2,1,2,3,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,0,1,0,0,2,2,2,4,3,3,3,2
P0009,0,1,0,0,0,0,0,1,0,0,2,2,2,3,4,1,3,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,4,3,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0010,0,0,1,0,1,1,0,1,0,0,2,3,2,2,2,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,2,1,1, ,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,1,0,1,1,0,0,0,1,0,0,0,2,2,1,4,3,3,3,3
P0011,0,0,0,0,0,0,0,0,0,1,4,2,4,4,4,2,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0012,0,0,0,0,1,0,0,0,0,0,1,3,3,4,2,1,3,4,1, , , , , , , , , , , , , , , , , ,2,2,3,1,1,2,1,2, ,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0013,1,1,0,0,1,0,0,1,0,0,2,2,5,5,3,1,5,2,1, , , , , , , , , , , , , , , , , ,2,2,2,1,1,2,2,2, ,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0014,0,0,0,0,0,1,0,0,0,0,3,1,1,4,4,1,3,2,6, , , , , , , , , , , , , , , , , ,3,3,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0015,0,1,0,0,1,0,0,1,0,0,2,2,2,3,2,2,5,2,1, , , , , , , , , , , , , , , , , ,2,2,1,1,1,3,2,2, ,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0016,0,1,0,0,0,0,0,0,0,0,2,2,2,3,3,2,3,2,1, , , , , , , , , , , , , , , , , ,3,3,3,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0017,0,1,1,0,1,0,0,0,0,0,2,2,2,5,4,5,5,2,6, , , , , , , , , , , , , , , , , ,5,5,3,1,1,2,4,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0018,1,1,1,0,1,1,0,1,0,0,2,1,1,2,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,2,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0019,0,1,0,0,0,0,0,0,0,0,4,2,2,3,3,2,5,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,2,2,3, , , ,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0020,1,1,1,0,0,1,0,1,0,0,2,1,1,2,2,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,2,2,2, , ,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0021,0,1,0,0,1,1,0,1,0,0,4,3,3,2,1,3,2,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,3,3,2,1,2,2,1, , ,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0022,0,0,1,0,0,0,0,0,0,0,3,1,1,5,3,2,2,2,1, , , , , , , , , , , , , , , , , ,3,3,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0023,0,1,0,0,1,1,0,1,0,0,3,2,2,2,3,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,1,2,2,1, , ,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0024,0,1,0,0,0,1,0,1,0,0,2,2,2,3,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2, , , ,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0025,0,1,0,0,0,0,0,0,0,0,3,2,2,5,3,3,3,2,1, , , , , , , , , , , , , , , , , ,3,3,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0026,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,3,3,1,3,3
P0027,1,1,1,0,0,0,0,1,0,0,3,1,1,2,3,3,2,2,6, , , , , , , , , , , , , , , , , ,3,3,2,1,1,3,2,2, ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0028,0,0,0,0,0,1,0,0,0,0,3,2,2,3,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,2,2,2, , , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0029,0,0,0,0,1,0,0,0,0,0,1,2,2,4,1,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,1,1,2,1,2, ,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0030,0,0,0,0,0,0,0,0,0,1,3,4,3,4,3,3,3,3,1, , , , , , , , , , , , , , , , , ,4,4,2,1,2,2,2, , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0031,1,0,1,0,0,1,0,0,0,0,2,2,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0032,0,1,1,0,0,0,0,0,0,0,1,1,1,4,2,5,5,2,1, , , , , , , , , , , , , , , , , ,1,3,2,1,1,2,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0033,0,0,0,0,0,1,1,1,0,0,3,1,1,2,2,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,1,2,1,1, ,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,1,3,2,2,2,3
P0034,0,0,0,1,0,1,0,1,0,0,4,4,3,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,2,1, , ,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,3,3,1
P0035,0,1,0,0,1,1,0,0,0,0,3,2,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,3,3,1,1,1,2,2,2, ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0036,1,1,0,0,0,0,0,0,0,0,2,2,2,3,3,2,3,2,2,0,0,0,0,0,0,0,0,1, , , , , , , , ,3,3,2,2,1,2, ,2, ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0037,1,0,1,0,1,1,0,1,0,0,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , ,3,3,1,1,2,3,2, , ,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0038,1,1,0,0,1,0,1,0,0,0,2,2,2,3,2,2,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,1,1,3
P0039,1,0,1,0,0,1,0,1,0,0,3,2,2,3,4,2,3,2,1, , , , , , , , , , , , , , , , , ,3,3,2,1,1,2,2,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0040,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,2,1,2, ,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,2,2,1
P0041,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,1,1, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0042,1,0,0,0,1,1,0,1,0,0,3,2,2,3,3,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,1,2,2,2, ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0043,1,1,1,0,0,0,0,0,0,0,2,2,1,4,3,2,5,2,1, , , , , , , , , , , , , , , , , ,4,4,2,2,1,3, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0044,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0045,0,1,0,0,0,1,0,1,0,0,3,2,2,3,3,2,2,2,1, , , , , , , , , , , , , , , , , ,3,3,3,2,1,2, ,2, ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P0046,0,1,0,0,1,0,0,0,0,0,4,1,1,4,4,1,1,1,1, , , , , , , , , , , , , , , , , ,1,4,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , 
P0047,0,1,0,0,0,1,0,0,0,0,2,1,1,2,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,2,2, , , ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,3,3,3,3
