Value	Label
Q1a_1	Not selected
	Selected
Q1a_2	Not selected
	Selected
Q1a_3	Not selected
	Selected
Q1a_4	Not selected
	Selected
Q1a_5	Not selected
	Selected
Q1a_6	Not selected
	Selected
Q1a_7	Not selected
	Selected
Q1a_8	Not selected
	Selected
Q1a_9	Not selected
	Selected
Q1a_10	Not selected
	Selected
Q1b_1	Trust a great deal
	Trust to some extent
	Do not trust very much
	Do not trust at all
	Don’t know
Q1b_2	Trust a great deal
	Trust to some extent
	Do not trust very much
	Do not trust at all
	Don’t know
Q1b_3	Trust a great deal
	Trust to some extent
	Do not trust very much
	Do not trust at all
	Don’t know
Q1b_4	Trust a great deal
	Trust to some extent
	Do not trust very much
	Do not trust at all
	Don’t know
Q1b_5	Trust a great deal
	Trust to some extent
	Do not trust very much
	Do not trust at all
	Don’t know
Q1b_6	Trust a great deal
	Trust to some extent
	Do not trust very much
	Do not trust at all
	Don’t know
Q1b_7	Trust a great deal
	Trust to some extent
	Do not trust very much
	Do not trust at all
	Don’t know
Q1b_8	Trust a great deal
	Trust to some extent
	Do not trust very much
	Do not trust at all
	Don’t know
Q1c	I have never used an AI chatbot
	I use a chatbot from time to time
	I use a chatbot around once a week
	I use a chatbot almost every day
	I use a chatbot at least once a day
	I don't know
Q1d_1	Not selected
	Selected
Q1d_2	Not selected
	Selected
Q1d_3	Not selected
	Selected
Q1d_4	Not selected
	Selected
Q1d_5	Not selected
	Selected
Q1d_6	Not selected
	Selected
Q1d_7	Not selected
	Selected
Q1d_8	Not selected
	Selected
Q1d_9	Not selected
	Selected
Q1e_1	Not selected
	Selected
Q1e_2	Not selected
	Selected
Q1e_3	Not selected
	Selected
Q1e_4	Not selected
	Selected
Q1e_5	Not selected
	Selected
Q1e_6	Not selected
	Selected
Q1e_7	Not selected
	Selected
Q1e_8	Not selected
	Selected
Q2a	"Yes, but the content did not appear to be misleading"
	"Yes, and the content appeared to be misleading"
	"No, I have not seen social media posts that I suspected to be generated by AI"
	"No, I am not on social media"
	I don’t know
Q2b	"Yes, but the content did not appear to be misleading"
	"Yes, and they appeared to contain misleading content"
	"No, I have not come across online news articles that I suspected to be generated by AI"
	"No, I do not read news online"
	I don’t know
Q2c	"Yes, I have come across images or videos that I suspected to be deepfakes (other than those that were labelled as such f"
	"No, I have not seen images or videos that I suspected to be deepfakes."
	I don’t know
Q3a_1	Yes
	No
	Don’t know
Q3a_2	Yes
	No
	Don’t know
Q3a_3	Yes
	No
	Don’t know
Q3b	It made me more likely to vote
	It made no difference
	It made me less likely to vote
	I did not see information about current affairs or political issues on social media
	I don’t know
Q3c	It made me more likely to vote
	It made no difference
	It made me less likely to vote
	I did not see information about current affairs or political issues in newspapers or news websites
	I don’t know
Q3d	It made me more likely to vote
	It made no difference
	It made me less likely to vote
	I did not see information about current affairs or political issues from an AI chatbot
	I don’t know
Q4a_1	Not selected
	Selected
Q4a_2	Not selected
	Selected
Q4a_3	Not selected
	Selected
Q4a_4	Not selected
	Selected
Q4a_5	Not selected
	Selected
Q4a_6	Not selected
	Selected
Q4a_7	Not selected
	Selected
Q4a_8	Not selected
	Selected
Q4b_1	Not selected
	Selected
Q4b_2	Not selected
	Selected
Q4b_3	Not selected
	Selected
Q4b_4	Not selected
	Selected
Q4b_5	Not selected
	Selected
Q4b_6	Not selected
	Selected
Q4b_7	Not selected
	Selected
Q4c	"No, the information was not helpful"
	"Yes, the information was helpful"
	I don’t know
Q4d	"No, the information did not seem accurate"
	"Yes, the information seemed accurate"
	I don’t know
Q5a_1	Not selected
	Selected
Q5a_2	Not selected
	Selected
Q5a_3	Not selected
	Selected
Q5a_4	Not selected
	Selected
Q5a_5	Not selected
	Selected
Q5a_6	Not selected
	Selected
Q5a_7	Not selected
	Selected
Q5a_8	Not selected
	Selected
Q5a_9	Not selected
	Selected
Q5a_10	Not selected
	Selected
Q5a_11	Not selected
	Selected
Q5a_12	Not selected
	Selected
Q5a_13	Not selected
	Selected
Q5b	Very useful
	Fairly useful
	Not very useful
	Not at all useful
	I don’t know
Q5c	Very accurate
	Fairly accurate
	Not very accurate
	Not at all accurate
	I don’t know
Q5e	The chatbot seemed to be politically left leaning
	The chatbot seemed to be politically neutral or balanced (it gave each side of the argument a fair hearing)
	The chatbot seemed to be politically right leaning
	I don’t know
Q5f	"Yes, I was influenced in a more liberal direction."
	"Yes, I was influenced in a more conservative direction."
	"I was influenced by the chatbot, but not in a more liberal or conservative direction"
	I was not influenced by the chatbot
	I don’t know
Q5g	"Yes, I had a more favourable view of politicians or parties on the left of the political spectrum"
	"Yes, I had a less favourable view of politicians or parties on the left of the political spectrum"
	"No, my view of politicians or parties on the left of the political spectrum was unchanged"
	I don’t know
Q5h	"Yes, I had a more favourable view of politicians or parties on the right of the political spectrum"
	"Yes, I had a less favourable view of politicians or parties on the right of the political spectrum"
	"No, my view of politicians or parties on the right of the political spectrum was unchanged"
	I don’t know
Q5i	"Yes, I would be more likely to vote for politicians or parties on the right of the political spectrum"
	"Yes, I would be less likely to vote for politicians or parties on the right of the political spectrum"
	"No, my voting intentions are unchanged"
	I don’t know
Q5j	"Yes, I was more certain about the party I wanted to vote for"
	"No, I was less certain about the party I wanted to vote for"
	I was no more or less certain about the party I wanted to vote for
	I don’t know
