Variable	Label
ID	Pseudonymous respondent identifier, randomly assigned. Not linkable to the original fieldwork panel identifier.
Q1a_1	"Q1a_1 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? Newspapers (print or website / app, for example Daily Mail or Guardian Online)"
Q1a_2	"Q1a_2 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? Television (including live streaming, on demand and broadcast)"
Q1a_3	"Q1a_3 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? Radio"
Q1a_4	"Q1a_4 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? AI chatbots (for example ChatGPT)"
Q1a_5	"Q1a_5 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? Social media sites (for example Facebook, Instagram, TikTok, Twitter/X, YouTube)"
Q1a_6	"Q1a_6 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? Other internet sites, (for example BBC News)"
Q1a_7	"Q1a_7 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? Podcasts"
Q1a_8	"Q1a_8 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? Internet Search (for example Google)"
Q1a_9	"Q1a_9 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? Other"
Q1a_10	"Q1a_10 Over the past four weeks, which of the following have you used find out about UK political issues or current affairs? None of the above"
Q1b_1	"Q1b_1 In general, how much do you trust the following sources to provide accurate information about UK political issues or current affairs?  Newspapers (print or website / app, for example Daily Mail or Guardian Online)"
Q1b_2	"Q1b_2 In general, how much do you trust the following sources to provide accurate information about UK political issues or current affairs?  Television (including live streaming, on demand and broadcast)"
Q1b_3	"Q1b_3 In general, how much do you trust the following sources to provide accurate information about UK political issues or current affairs?  Radio"
Q1b_4	"Q1b_4 In general, how much do you trust the following sources to provide accurate information about UK political issues or current affairs?  AI chatbots (for example ChatGPT)"
Q1b_5	"Q1b_5 In general, how much do you trust the following sources to provide accurate information about UK political issues or current affairs?  Social media sites (for example Facebook, Instagram, TikTok, Twitter/X, YouTube)"
Q1b_6	"Q1b_6 In general, how much do you trust the following sources to provide accurate information about UK political issues or current affairs?  Other internet sites, (for example BBC News)"
Q1b_7	"Q1b_7 In general, how much do you trust the following sources to provide accurate information about UK political issues or current affairs?  Podcasts"
Q1b_8	"Q1b_8 In general, how much do you trust the following sources to provide accurate information about UK political issues or current affairs?  Internet Search (for example Google)"
Q1c	"Q1c How often, if at all, do you use AI chatbots in your professional life or leisure time?"
Q1d_1	"Q1d_1 Which, if any, of the following AI chatbots have you used in the last four weeks? ChatGPT"
Q1d_2	"Q1d_2 Which, if any, of the following AI chatbots have you used in the last four weeks? Gemini / Bard"
