Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-1.9633343,-2.006025,-1.9202443,0.0
ground_truth,-0.063461624,-0.12589061,-0.0013457309,0.39065651244800415
researched,0.07153671,0.008985976,0.13387766,0.328396745657373
istest,0.007338592,-0.07188593,0.0883304,0.6241560961672391
model_sycophancy,-0.03719171,-0.23639971,0.159309,0.25271114201989026
model_persuasion,0.03629887,-0.15726325,0.23184487,0.2569979769156688
ground_truth_researched,0.03601275,-0.077780366,0.15226327,0.4347001389496428
ground_truth_researched_model_sycophancy,-0.010461441,-0.225879,0.20655553,0.23124887879783007
ground_truth_researched_model_persuasion,0.013767786,-0.20627896,0.2354393,0.22638864595336855
ground_truth_istest,-0.06610729,-0.18099129,0.05014391,0.4326472112132116
ground_truth_istest_model_sycophancy,0.06877825,-0.15190181,0.29043856,0.22607025241064838
ground_truth_istest_model_persuasion,-0.06678693,-0.2866091,0.15074599,0.22864715593011942
researched_istest,-0.1572678,-0.27155507,-0.040663153,0.040438172729674704
researched_istest_model_sycophancy,0.056987725,-0.16038069,0.27656004,0.22886399280609399
researched_istest_model_persuasion,-0.05834849,-0.28120273,0.15976296,0.22677500912640403
ground_truth_researched_istest,-0.2966793,-0.48977032,-0.10732469,0.0
ground_truth_researched_istest_model_sycophancy,0.017983763,-0.23245949,0.26777607,0.19990582134652599
ground_truth_researched_istest_model_persuasion,-0.016900456,-0.26943508,0.23447493,0.1984481335742075
