Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0018649598,-0.15005949,0.15125598,0.3318780794502174
time,-0.0032286944,-0.0179352,0.011290225,1.0
ground_truth,0.6499777,0.6349556,0.6645538,0.0
researched,-0.01520334,-0.029776433,-0.0005519891,1.0
istest,0.012377563,-0.0018805277,0.026554745,1.0
model_sycophancy,0.04235828,-0.066113204,0.15044923,0.4617606002893088
model_persuasion,-0.041094653,-0.14931005,0.06733368,0.4615873135968344
ground_truth_researched,0.1255234,0.09636758,0.15497835,0.0
ground_truth_researched_model_sycophancy,-0.0014682534,-0.11456516,0.11185979,0.44164744722993654
ground_truth_researched_model_persuasion,4.1482897e-05,-0.10938968,0.11179018,0.45212073545948434
ground_truth_istest,0.0294275,0.0005287631,0.057980992,0.8610847295643503
ground_truth_istest_model_sycophancy,0.0071748933,-0.10440872,0.11786291,0.4498999741660126
ground_truth_istest_model_persuasion,-0.0084689595,-0.119080365,0.10465085,0.4469649047352874
researched_istest,0.0035506159,-0.025308313,0.033018667,1.0
researched_istest_model_sycophancy,-0.019292329,-0.12990385,0.09088183,0.45292791537967375
researched_istest_model_persuasion,0.019369824,-0.0948092,0.13074331,0.44335574648752224
ground_truth_researched_istest,0.09913793,0.044760082,0.15305945,0.04838364287419204
ground_truth_researched_istest_model_sycophancy,-0.019582245,-0.13660006,0.09941498,0.42370180409044267
ground_truth_researched_istest_model_persuasion,0.01923088,-0.09865411,0.1372538,0.423894204675643
time_ground_truth,0.15808824,0.1283412,0.18800455,0.0
time_researched,-0.013317036,-0.04285012,0.016194899,1.0
time_istest,0.002869247,-0.025839688,0.032152157,1.0
time_model_sycophancy,-0.004033327,-0.1116132,0.107039355,0.45734659045275733
time_model_persuasion,0.0049574166,-0.10471045,0.11777621,0.4494651501889346
time_ground_truth_model_sycophancy,-0.00229938,-0.11229909,0.108182974,0.453551627531773
time_ground_truth_model_persuasion,0.0030202982,-0.106391646,0.114613496,0.45247816053018314
time_researched_model_sycophancy,-0.0060117105,-0.1179227,0.106506,0.4455758140726923
time_researched_model_persuasion,0.004769623,-0.10825639,0.11880348,0.44041247613653745
time_istest_model_sycophancy,0.006761591,-0.10382215,0.11814403,0.4505190892150309
time_istest_model_persuasion,-0.0065340004,-0.11908971,0.10390019,0.4484508154361776
time_ground_truth_researched,0.19471875,0.13770026,0.2519687,0.0
time_ground_truth_researched_model_sycophancy,0.020171253,-0.1038818,0.14192238,0.40682790139782093
time_ground_truth_researched_model_persuasion,-0.02133365,-0.1405929,0.10058135,0.41463796259854074
time_ground_truth_istest,0.01588483,-0.039680034,0.07134401,0.807753260684654
time_ground_truth_istest_model_sycophancy,-0.012917252,-0.13675609,0.11023708,0.40486949630450036
time_ground_truth_istest_model_persuasion,0.01308561,-0.10787412,0.13525136,0.4113102488009454
time_researched_istest,0.0010580954,-0.05534454,0.056975316,0.8903145247502606
time_researched_istest_model_sycophancy,0.01442502,-0.105301544,0.13588634,0.4146145227512064
time_researched_istest_model_persuasion,-0.014377453,-0.13382909,0.10700143,0.415229766990036
time_ground_truth_researched_istest,0.031215997,-0.06436434,0.12659024,0.5236847601604543
time_ground_truth_researched_istest_model_sycophancy,-0.0047454312,-0.1403195,0.13158788,0.3677722984568482
time_ground_truth_researched_istest_model_persuasion,0.0038125964,-0.13012847,0.1378844,0.3731164154597908
