Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0016907904,-0.1547506,0.16069649,0.3170103720029235
time,-0.003790129,-0.018575309,0.010744291,1.0
ground_truth,0.65046585,0.6357676,0.6653019,0.0
researched,-0.01541943,-0.030194346,-0.00056933326,1.0
istest,0.014245732,-0.00016770339,0.029074984,1.0
ground_truth_researched,0.12541507,0.09710292,0.15408528,0.0
ground_truth_istest,0.030794928,0.001971109,0.05932384,0.8374298883794027
researched_istest,0.0008716441,-0.02760505,0.029090313,1.0
ground_truth_researched_istest,0.09712233,0.04188156,0.15352337,0.07271862368036969
time_ground_truth,0.15796146,0.12859347,0.18717802,0.0
time_researched,-0.01410687,-0.042517688,0.014051873,1.0
time_istest,0.0032100612,-0.025905833,0.032766774,1.0
time_ground_truth_researched,0.19931456,0.14367957,0.25482652,0.0
time_ground_truth_istest,0.014706691,-0.040250577,0.07071974,0.8132857362310013
time_researched_istest,0.0029139335,-0.05125292,0.057597484,0.9186920374705657
time_ground_truth_researched_istest,0.032822344,-0.06261564,0.12847142,0.5233216742631215
