Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0021956074,-0.15951063,0.16572832,0.3074662555684818
time,-0.04246943,-0.072728924,-0.011824436,0.626810357262497
ground_truth,0.66367567,0.63060963,0.6963055,0.0
researched,0.013666506,-0.018201126,0.04441136,1.0
istest,0.037190944,0.0058110533,0.068511985,0.7047574146471515
ground_truth_researched,0.14873284,0.09074939,0.20802097,0.0
ground_truth_istest,-0.014268029,-0.07276477,0.044416238,0.8057298719777062
researched_istest,0.024544125,-0.033313937,0.08332714,0.7142761492912943
ground_truth_researched_istest,-0.015319946,-0.11666882,0.08471914,0.496554022492332
time_ground_truth,0.11670751,0.056629054,0.17711306,0.0
time_researched,0.03701408,-0.02153023,0.09562687,0.6105496882122516
time_istest,-0.014461495,-0.07244428,0.043582514,0.8065594917000758
time_ground_truth_researched,0.22843507,0.12386916,0.3356859,0.0
time_ground_truth_istest,-0.052817788,-0.15299043,0.047529157,0.48638219487414086
time_researched_istest,-0.08321261,-0.1814355,0.015387543,0.3322148827535879
time_ground_truth_researched_istest,0.023650682,-0.11435239,0.16143842,0.36259366215964467
