Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.00043521335,-0.16349517,0.16246384,0.3067870386933531
time,-0.035083283,-0.061079167,-0.008733233,0.7883471339314592
ground_truth,0.7361263,0.7087722,0.7627358,0.0
researched,-0.00075233955,-0.026154777,0.02491966,1.0
istest,-0.008834818,-0.035279784,0.016967919,1.0
model_sycophancy,0.023522358,-0.094297014,0.14181414,0.4235293300919212
model_persuasion,-0.022962144,-0.14311934,0.09593744,0.4183106738316127
ground_truth_researched,0.14816856,0.09754501,0.19912337,0.0
ground_truth_researched_model_sycophancy,0.058516577,-0.06869952,0.18876399,0.3884045588736737
ground_truth_researched_model_persuasion,-0.057814207,-0.1879875,0.07544062,0.3796101816556822
ground_truth_istest,0.07721939,0.028101984,0.1273426,0.22065578894115886
ground_truth_istest_model_sycophancy,-0.009219322,-0.13788028,0.12060487,0.3868694148061484
ground_truth_istest_model_persuasion,0.010608286,-0.11773613,0.13920341,0.3891966100175255
researched_istest,-0.023647526,-0.072376445,0.027213901,0.7753151205338006
researched_istest_model_sycophancy,0.011745692,-0.11319995,0.14107834,0.3932699133109674
researched_istest_model_persuasion,-0.009913029,-0.1377311,0.11798758,0.39105472379347805
ground_truth_researched_istest,0.08915575,0.0017383165,0.17688587,0.275548711301132
ground_truth_researched_istest_model_sycophancy,0.07196572,-0.06659621,0.21409659,0.3562613636212821
ground_truth_researched_istest_model_persuasion,-0.07236031,-0.21692373,0.0680201,0.35094636451508743
time_ground_truth,0.11825391,0.0675986,0.1700893,0.0
time_researched,0.044616006,-0.0048043025,0.09529056,0.5475236491438722
time_istest,-0.0144865345,-0.06396956,0.035400104,0.8594182626667328
time_model_sycophancy,-0.02283643,-0.14486694,0.10125767,0.4062982563025579
time_model_persuasion,0.024857778,-0.09777085,0.15021835,0.4032433669594482
time_ground_truth_model_sycophancy,0.008554483,-0.11469395,0.13334967,0.40315489817613326
time_ground_truth_model_persuasion,-0.009036655,-0.13379174,0.115255125,0.40153084505843495
time_researched_model_sycophancy,0.0075996416,-0.12160276,0.13629663,0.3877481079553843
time_researched_model_persuasion,-0.0069402833,-0.13510424,0.121158026,0.3902252247052975
time_istest_model_sycophancy,-0.03067594,-0.15600167,0.094294444,0.3995267751172108
time_istest_model_persuasion,0.030471101,-0.09147969,0.15536372,0.4051151253327648
time_ground_truth_researched,0.19675212,0.105782226,0.28949162,0.0
time_ground_truth_researched_model_sycophancy,0.013694537,-0.13116762,0.15494701,0.3495102607033405
time_ground_truth_researched_model_persuasion,-0.0120529635,-0.15545554,0.13035099,0.3498870290496134
time_ground_truth_istest,-0.047687426,-0.13695104,0.04109039,0.5116246742123483
time_ground_truth_istest_model_sycophancy,-0.008542105,-0.15166076,0.13527113,0.3485147675700559
time_ground_truth_istest_model_persuasion,0.0102200825,-0.12808576,0.14959863,0.3601210705570203
time_researched_istest,-0.01264087,-0.1004542,0.07633683,0.5656395666138048
time_researched_istest_model_sycophancy,-0.027045125,-0.16927083,0.11278673,0.3545375619516802
time_researched_istest_model_persuasion,0.02708333,-0.1131737,0.1683185,0.3552496353812393
time_ground_truth_researched_istest,-0.06586048,-0.2042419,0.067536026,0.3679474664543125
time_ground_truth_researched_istest_model_sycophancy,0.021850057,-0.13813546,0.18196145,0.31240538998032713
time_ground_truth_researched_istest_model_persuasion,-0.019847345,-0.1772717,0.13842523,0.3167594997125941
