Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.0046576555,-0.12782599,0.117964946,0.4068498277679314
time,-0.030040072,-0.061001133,0.00041468674,0.8208746022019393
ground_truth,0.35536698,0.32517946,0.38672027,0.0
researched,-0.004639861,-0.035970174,0.026151897,1.0
istest,0.0066435477,-0.024528611,0.03788126,1.0
model_gpt4o,0.0029894726,-0.0734096,0.0799766,0.6519491092209567
model_claude,-0.013140348,-0.09018201,0.0644706,0.6466105198307608
model_mistral,0.011588158,-0.06552159,0.090087935,0.642634180165748
ground_truth_researched,-0.029208021,-0.08719169,0.027908677,0.6768759887381374
ground_truth_researched_model_gpt4o,-0.007825865,-0.11291428,0.09761014,0.47500428314457593
ground_truth_researched_model_claude,-0.008273135,-0.111763746,0.09699517,0.4790214634299895
ground_truth_researched_model_mistral,0.017467145,-0.08777354,0.12185676,0.47703028656919144
ground_truth_istest,-0.005990905,-0.06288342,0.050748553,0.8800339876426634
ground_truth_istest_model_gpt4o,-0.08976106,-0.1952535,0.014856696,0.308679423360865
ground_truth_istest_model_claude,-0.0428715,-0.14826047,0.059511572,0.4812966987981221
ground_truth_istest_model_mistral,0.13093138,0.023284256,0.23951176,0.1235538649812257
researched_istest,0.0012516289,-0.05506554,0.058876783,0.8776370252963114
researched_istest_model_gpt4o,-0.009076416,-0.115802035,0.095095,0.4741650330682894
researched_istest_model_claude,0.0022133845,-0.09865568,0.103928424,0.493622148246707
researched_istest_model_mistral,0.008111622,-0.09731305,0.112993844,0.47549559528525137
ground_truth_researched_istest,-0.016375257,-0.107888006,0.073891275,0.5501177022610294
ground_truth_researched_istest_model_gpt4o,0.027577423,-0.08848415,0.14183436,0.43418133080545074
ground_truth_researched_istest_model_claude,-0.021306843,-0.14085728,0.096860886,0.4206662121647871
ground_truth_researched_istest_model_mistral,-0.006637154,-0.1262928,0.114575416,0.4151647893716015
time_ground_truth,-0.23094009,-0.2915957,-0.17282282,0.0
time_researched,-0.0065657645,-0.0630205,0.0487306,0.8834866254391924
time_istest,0.02763344,-0.030003896,0.085132174,0.6948638759351218
time_model_gpt4o,0.024273215,-0.06348548,0.113926366,0.5636602165773588
time_model_claude,-0.027385138,-0.113489136,0.060315724,0.5753579024004238
time_model_mistral,0.0031635033,-0.08323491,0.09248981,0.5690718904466765
time_ground_truth_model_gpt4o,-0.06720662,-0.17810057,0.041189943,0.4158407996527805
time_ground_truth_model_claude,0.030919485,-0.07535032,0.13516843,0.47501705960170587
time_ground_truth_model_mistral,0.0351913,-0.06818351,0.14307036,0.4733641169818143
time_researched_model_gpt4o,0.00911347,-0.09782625,0.11441521,0.47116147059770314
time_researched_model_claude,-0.024657235,-0.12734011,0.07892763,0.48480679298706547
time_researched_model_mistral,0.016155882,-0.09034671,0.12155466,0.47191767354923825
time_istest_model_gpt4o,-0.008559609,-0.11303226,0.096524164,0.4771984485490337
time_istest_model_claude,0.009498572,-0.09391187,0.114804775,0.4791184699191539
time_istest_model_mistral,-0.0001757351,-0.10498255,0.10411054,0.4782558893335195
time_ground_truth_researched,-0.08081034,-0.17233537,0.009847369,0.32850185976462154
time_ground_truth_researched_model_gpt4o,0.015309003,-0.101404265,0.13273264,0.4271005384065412
time_ground_truth_researched_model_claude,-0.015319575,-0.13191687,0.10265534,0.42630795970327423
time_ground_truth_researched_model_mistral,0.0016923606,-0.11354531,0.11682609,0.4340816598332092
time_ground_truth_istest,-0.000721231,-0.09102778,0.08791147,0.5588488734145487
time_ground_truth_istest_model_gpt4o,0.0016352783,-0.113146126,0.11801648,0.43259591595726443
time_ground_truth_istest_model_claude,-0.0001495942,-0.11749088,0.11703417,0.426393688758281
time_ground_truth_istest_model_mistral,-0.0010179883,-0.117171094,0.11427728,0.43206179405896933
time_researched_istest,0.00601584,-0.08234238,0.09564739,0.5618300548754255
time_researched_istest_model_gpt4o,-0.01772544,-0.13800217,0.09920429,0.4215736805921304
time_researched_istest_model_claude,0.024745945,-0.088677116,0.14430276,0.4292216294394866
time_researched_istest_model_mistral,-0.008444067,-0.12442805,0.10949461,0.4274917182030851
time_ground_truth_researched_istest,0.025904084,-0.085882634,0.13516407,0.4523930893982571
time_ground_truth_researched_istest_model_gpt4o,-0.01168305,-0.13141507,0.11062853,0.4131487063166034
time_ground_truth_researched_istest_model_claude,0.005977865,-0.11521323,0.12993883,0.4079101009514052
time_ground_truth_researched_istest_model_mistral,0.006497047,-0.11714022,0.13133906,0.40244804818088126
