Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.0022762886,-0.09418226,0.08814212,0.5484730027554063
time,-0.025750017,-0.058160022,0.0057577807,0.8723356942317416
ground_truth,0.115449525,0.08372888,0.14772266,0.0
researched,-0.003892687,-0.03589168,0.028120205,1.0
istest,0.009726919,-0.022436457,0.041449517,1.0
model_gpt4o,-0.006992307,-0.06713887,0.05360735,0.8281832660770128
model_claude,-0.010395025,-0.071889505,0.049943335,0.8203316547137874
model_mistral,0.017853206,-0.04151693,0.07812643,0.7649144054212599
ground_truth_researched,-0.024496583,-0.07985635,0.0292279,0.7263000762531201
ground_truth_researched_model_gpt4o,-0.0041064075,-0.08886679,0.08172699,0.5861878322256778
ground_truth_researched_model_claude,-0.005096756,-0.08880922,0.07407548,0.6139311861235115
ground_truth_researched_model_mistral,0.010040744,-0.0707451,0.092626095,0.6121029979462599
ground_truth_istest,-0.00069214345,-0.05577925,0.053809505,0.9125023952573548
ground_truth_istest_model_gpt4o,-0.06648508,-0.15844652,0.016080817,0.37862731449570175
ground_truth_istest_model_claude,-0.02524666,-0.11242188,0.055860452,0.5942394544840823
ground_truth_istest_model_mistral,0.09073639,0.0052278056,0.18275064,0.2522052669201058
researched_istest,-0.007558291,-0.062132765,0.044863153,0.8866053504590882
researched_istest_model_gpt4o,-0.008976966,-0.0937839,0.0740611,0.5957877686544721
researched_istest_model_claude,0.005528508,-0.0768117,0.091136165,0.5954228676329314
researched_istest_model_mistral,0.00478879,-0.078962736,0.088021845,0.598857689292005
ground_truth_researched_istest,-0.019934792,-0.09888942,0.056458615,0.6437159084260012
ground_truth_researched_istest_model_gpt4o,0.015127423,-0.072299235,0.105054565,0.5638447012152231
ground_truth_researched_istest_model_claude,-0.010382608,-0.10009838,0.0774165,0.5633330540823996
ground_truth_researched_istest_model_mistral,-0.0047489377,-0.09687881,0.08830175,0.5400134880931489
time_ground_truth,-0.1935261,-0.25737396,-0.13087787,0.0
time_researched,-0.013219428,-0.06821496,0.040310893,0.8321601738997488
time_istest,0.017930016,-0.036799133,0.072952546,0.7908683822630425
time_model_gpt4o,0.0178522,-0.05450604,0.09070544,0.6886507844682043
time_model_claude,-0.021977814,-0.09379641,0.04934972,0.6940440562161109
time_model_mistral,0.0044883145,-0.06658049,0.07666253,0.698114284522432
time_ground_truth_model_gpt4o,-0.04713055,-0.13377787,0.036671378,0.5084878812898946
time_ground_truth_model_claude,0.021092994,-0.06253164,0.105278544,0.5959113802352802
time_ground_truth_model_mistral,0.026236348,-0.054079436,0.11170034,0.6032098841446192
time_researched_model_gpt4o,0.009590127,-0.07459101,0.09229722,0.5992034325625122
time_researched_model_claude,-0.025994072,-0.10857026,0.052915283,0.6192504709396042
time_researched_model_mistral,0.01692722,-0.06613518,0.101455234,0.5966928289173745
time_istest_model_gpt4o,-0.006349698,-0.09271208,0.07855125,0.5838961567784675
time_istest_model_claude,0.007901093,-0.07512659,0.092646345,0.5960436985319634
time_istest_model_mistral,-0.0020926343,-0.08417207,0.07903918,0.6127028665365675
time_ground_truth_researched,-0.06510644,-0.14762239,0.011537159,0.3866381796779574
time_ground_truth_researched_model_gpt4o,0.010825114,-0.076701924,0.10258718,0.5577583833892071
time_ground_truth_researched_model_claude,-0.014960561,-0.10462858,0.07506598,0.5564998873257306
time_ground_truth_researched_model_mistral,0.004805956,-0.086542316,0.09452835,0.55227057947381
time_ground_truth_istest,-0.0061183204,-0.08313095,0.07047816,0.6510030476693435
time_ground_truth_istest_model_gpt4o,0.00082001893,-0.08782043,0.0888028,0.5661769320629754
time_ground_truth_istest_model_claude,0.00084995286,-0.08733473,0.090034306,0.5637962655657262
time_ground_truth_istest_model_mistral,-0.0017427483,-0.090317674,0.08447786,0.5720970071642063
time_researched_istest,0.005423391,-0.07034469,0.08038561,0.6634366282731602
time_researched_istest_model_gpt4o,-0.0057363436,-0.09690884,0.08349009,0.5543270247796057
time_researched_istest_model_claude,0.009804949,-0.07600507,0.09865593,0.5725376486561667
time_researched_istest_model_mistral,-0.0047155973,-0.092455804,0.0840994,0.5663950945691573
time_ground_truth_researched_istest,0.015724046,-0.07232497,0.10614908,0.5603055574677551
time_ground_truth_researched_istest_model_gpt4o,-0.003938176,-0.095184006,0.086786024,0.5495410423457571
time_ground_truth_researched_istest_model_claude,0.0011651724,-0.08992002,0.093794346,0.5443232414993678
time_ground_truth_researched_istest_model_mistral,0.0037833292,-0.0870528,0.09547791,0.5478530202449854
