Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-7.3500814e-05,-0.12132748,0.12241888,0.410262532422736
time,-0.02994492,-0.060721636,0.00015331572,0.8238744253974186
ground_truth,0.3549515,0.32352275,0.38672006,0.0
researched,-0.0047451933,-0.035518818,0.026463568,1.0
istest,0.006358317,-0.024801536,0.03687381,1.0
ground_truth_researched,-0.029859709,-0.08648133,0.026225448,0.6763164324403222
ground_truth_istest,-0.006988117,-0.063080795,0.048772752,0.8830542668158468
researched_istest,0.0011737848,-0.05641614,0.05722712,0.8799466070147789
ground_truth_researched_istest,-0.01577603,-0.106032796,0.07301499,0.5585101184546694
time_ground_truth,-0.23092094,-0.29143518,-0.17048152,0.0
time_researched,-0.0069309366,-0.062309485,0.048802588,0.8892155947646416
time_istest,0.027310079,-0.030432887,0.08492544,0.6972438588494977
time_ground_truth_researched,-0.080388404,-0.17121612,0.0078426525,0.3230372530345014
time_ground_truth_istest,-0.00047034453,-0.08832588,0.089401364,0.5626599349790207
time_researched_istest,0.005806185,-0.081620045,0.093100764,0.5723416726970662
time_ground_truth_researched_istest,0.025259431,-0.08460005,0.13305262,0.4594476279373807
