Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.004753056,-0.26292932,0.27238277,0.18680691609825203
time,-0.042558137,-0.079293095,-0.0058261356,0.6012752535758066
ground_truth,0.34640944,0.30544418,0.38758293,0.0
researched,0.0044604735,-0.03193387,0.040927548,1.0
istest,0.036204048,-0.0013528818,0.07276656,0.6928395896210112
vote,-0.0500344,-0.0924297,-0.0077630337,0.49886182330951917
ground_truth_researched,0.17794639,0.10510806,0.25069943,0.0
ground_truth_istest,-0.04148487,-0.11318716,0.029491851,0.5571376783058125
ground_truth_vote,1.9940044,1.9116964,2.0811172,0.0
researched_istest,0.04353306,-0.026893828,0.11490683,0.542267065027424
ground_truth_researched_istest,-0.08091341,-0.2097502,0.05138619,0.38294164390683155
time_ground_truth,0.13214475,0.060658585,0.20353508,0.0
time_researched,0.035113562,-0.039438557,0.108250745,0.6055858884761008
time_istest,-0.012785782,-0.08465856,0.06009866,0.6908118182495941
time_ground_truth_researched,0.2983861,0.16652429,0.4283818,0.0
time_ground_truth_istest,-0.08108347,-0.21686296,0.051019154,0.37329852937303115
time_researched_istest,-0.12597619,-0.256204,0.0036157363,0.20635743521745123
time_ground_truth_researched_istest,0.069536544,-0.13819467,0.27954736,0.2393821858899238
