Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.01586451,-0.24759926,0.2906888,0.1857741333085815
time,-0.04290291,-0.0833382,-0.0020428915,0.5899123674561584
ground_truth,0.34630856,0.30437675,0.3885285,0.0
researched,0.009217079,-0.030612037,0.048695825,1.0
istest,0.025891205,-0.015345413,0.06678683,0.7956121516888738
vote,-0.05012957,-0.09144674,-0.008097897,0.5027316533307657
ground_truth_researched,0.2404391,0.16133253,0.3193747,0.0
ground_truth_istest,-0.050451297,-0.12896502,0.026973449,0.49361423932021603
ground_truth_vote,1.9951319,1.9095694,2.0832844,0.0
researched_istest,0.033407245,-0.04257371,0.111585006,0.600509085364255
researched_vote,-0.020013751,-0.100097276,0.059121367,0.6280671547208233
istest_vote,0.046062116,-0.03181126,0.12478478,0.5224350406901905
ground_truth_researched_istest,-0.09280935,-0.23265663,0.04405307,0.3398979901289056
ground_truth_researched_vote,-0.3028813,-0.44282678,-0.16036339,0.0
ground_truth_istest_vote,0.043525584,-0.09723997,0.18357804,0.3561025095914765
researched_istest_vote,0.051223103,-0.09537795,0.19701888,0.3420009734783464
ground_truth_researched_istest_vote,0.0572486,-0.15277849,0.26151562,0.2413744194965638
time_ground_truth,0.15930201,0.08028211,0.2386219,0.0
time_researched,0.027455462,-0.051758338,0.10456329,0.6397067536889749
time_istest,-0.020630788,-0.09687135,0.05756428,0.6475189502122732
time_vote,0.0033423319,-0.07565181,0.081642926,0.6357491864006296
time_ground_truth_researched,0.28946197,0.15307933,0.42605457,0.0
time_ground_truth_istest,-0.085467234,-0.21875812,0.048408512,0.3683413263943553
time_ground_truth_vote,-0.13193607,-0.2815788,0.013204517,0.21441008122596888
time_researched_istest,-0.14154656,-0.27582514,-0.005253894,0.165376426226536
time_researched_vote,0.040639024,-0.10031104,0.18427095,0.35139258227076864
time_istest_vote,0.040882867,-0.10038943,0.18421815,0.3513609840242708
time_ground_truth_researched_istest,0.068737015,-0.13883027,0.27404433,0.24220428615367093
time_ground_truth_researched_vote,0.041494716,-0.172329,0.2553367,0.23382749900444805
time_ground_truth_istest_vote,0.026467303,-0.1781112,0.23486312,0.24214581119444134
time_researched_istest_vote,0.087954864,-0.12930338,0.302149,0.23177528958673088
time_ground_truth_researched_istest_vote,0.00272785,-0.25454816,0.25657004,0.19564945903801811
