Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0025680466,-0.16458468,0.17414416,0.2952213885555806
time,-0.037758462,-0.07354124,-0.0015525564,0.6729869461704103
ground_truth,0.7302989,0.69172263,0.76812434,0.0
researched,0.006779742,-0.029275874,0.04315146,1.0
istest,0.037050325,0.00047435673,0.07366825,0.6766362843698482
ground_truth_researched,0.15095787,0.08320418,0.21949139,0.0
ground_truth_istest,-0.03996236,-0.107141554,0.026646025,0.5728934298211834
researched_istest,0.03707931,-0.029158289,0.1054764,0.58794868099559
ground_truth_researched_istest,-0.05080128,-0.16238461,0.062476307,0.4447193373218484
time_ground_truth,0.11273844,0.043752942,0.18086803,0.04556068836767674
time_researched,0.036672685,-0.030531175,0.10275409,0.6042016192297875
time_istest,-0.02205445,-0.09034928,0.045176957,0.7022769871627709
time_ground_truth_researched,0.20332788,0.087936014,0.31993303,0.0
time_ground_truth_istest,-0.0521905,-0.16726023,0.063875176,0.43264682769124535
time_researched_istest,-0.09038497,-0.20057124,0.020825932,0.31990441227153565
time_ground_truth_researched_istest,0.033908885,-0.117129035,0.18140583,0.33496925316040554
