Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-1.9782728,-2.022496,-1.9336646,0.0
ground_truth,-0.063626714,-0.12556733,-0.0035097685,0.38088775648285245
researched,0.07139542,0.010138931,0.13222064,0.3265113933835432
istest,0.0068018883,-0.07324771,0.08875469,0.6172748074674316
sub_compliance,0.1135262,0.01459243,0.21068703,0.1805637226231231
model_sycophancy,0.06660485,-0.14240272,0.2756668,0.23919466416140678
model_persuasion,-0.06560576,-0.28102094,0.14541657,0.23450094603916447
ground_truth_researched,0.035841934,-0.07765086,0.15386379,0.4319381129243465
ground_truth_researched_model_sycophancy,-0.0100465035,-0.23421687,0.21398601,0.22311324816431308
ground_truth_researched_model_persuasion,0.012480752,-0.20392637,0.23430997,0.22818737441788878
ground_truth_istest,-0.06637229,-0.18139215,0.047947843,0.4270857529081801
ground_truth_istest_model_sycophancy,0.06902381,-0.15155387,0.28966385,0.22664547535564455
ground_truth_istest_model_persuasion,-0.066517465,-0.28828967,0.1533815,0.22641278945210958
researched_istest,-0.15730949,-0.27173793,-0.040614914,0.04060645231773714
researched_istest_model_sycophancy,0.05608747,-0.16670966,0.27744493,0.22514683438729066
researched_istest_model_persuasion,-0.059123386,-0.28504023,0.16289547,0.22324632733448888
ground_truth_researched_istest,-0.29628175,-0.48555794,-0.107537106,0.0
ground_truth_researched_istest_model_sycophancy,0.019206636,-0.23465721,0.27007157,0.19812620980152354
ground_truth_researched_istest_model_persuasion,-0.01601244,-0.2566661,0.23349969,0.20401260771225704
