Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.00327784,-0.1525392,0.15747415,0.32256676550518076
time,0.017235897,-9.0757065e-05,0.034602474,1.0
ground_truth,0.6665325,0.64838934,0.6853108,0.0
researched,-0.0026424378,-0.020335484,0.015438909,1.0
istest,-0.04111229,-0.058772657,-0.0233532,0.7523209587710687
sub_compliance,-0.0075191986,-0.016564984,0.0014776678,1.0
model_gpt4o,0.026227262,-0.067050606,0.1209723,0.5318500981553858
model_claude,0.014201799,-0.080778874,0.108576715,0.5281069351624248
model_mistral,-0.03807222,-0.13106646,0.0550921,0.5371764902182256
ground_truth_researched,0.12303214,0.08846752,0.15839222,0.0
ground_truth_researched_model_gpt4o,0.014471135,-0.09166897,0.122973874,0.46589020918033075
ground_truth_researched_model_claude,0.05624897,-0.05372265,0.16557823,0.4559945200911081
ground_truth_researched_model_mistral,-0.06683576,-0.1804685,0.043141264,0.4165348719509868
ground_truth_istest,0.0047899033,-0.030656384,0.04012913,1.0
ground_truth_istest_model_gpt4o,0.045639016,-0.06274378,0.1582322,0.45253787278783897
ground_truth_istest_model_claude,-0.006503254,-0.11653815,0.10133391,0.45898496400401984
ground_truth_istest_model_mistral,-0.038048945,-0.14828885,0.07061544,0.45682065683903617
researched_istest,-0.029790526,-0.06443151,0.0064209523,0.7963160315475639
researched_istest_model_gpt4o,0.010284944,-0.09867336,0.11932971,0.45870913264604635
researched_istest_model_claude,-0.04633838,-0.15450934,0.062018063,0.4618353178933367
researched_istest_model_mistral,0.0329039,-0.07468168,0.142618,0.4601939643075858
ground_truth_researched_istest,0.10652512,0.042107347,0.17206025,0.06073471517731916
ground_truth_researched_istest_model_gpt4o,-0.070449494,-0.20086911,0.06071443,0.3822870443256828
ground_truth_researched_istest_model_claude,0.06862174,-0.06131985,0.20220928,0.3794646924065998
ground_truth_researched_istest_model_mistral,0.002538131,-0.13090153,0.13365793,0.37798685782052055
time_ground_truth,0.17874722,0.14286819,0.21487558,0.0
time_researched,-0.0014936569,-0.03604091,0.032319646,1.0
time_istest,0.04266998,0.0070734606,0.07787527,0.6062915465873883
time_model_gpt4o,-0.00039240933,-0.09554699,0.09619393,0.521537075280772
time_model_claude,-0.010358872,-0.1046282,0.086502835,0.5232012741659677
time_model_mistral,0.008311038,-0.087827526,0.10685682,0.5136519731217163
time_ground_truth_model_gpt4o,-0.014566695,-0.12235792,0.0934654,0.46334195408369905
time_ground_truth_model_claude,0.043607082,-0.06505328,0.15166417,0.4614303213808985
time_ground_truth_model_mistral,-0.028316889,-0.1338233,0.08201679,0.46330595137994296
time_researched_model_gpt4o,0.005882916,-0.10442089,0.1156366,0.4544266943873223
time_researched_model_claude,-0.010819833,-0.117158026,0.09861264,0.4634550367110116
time_researched_model_mistral,0.0074333814,-0.10387757,0.1200616,0.4465498466460252
time_istest_model_gpt4o,-0.046836615,-0.15453398,0.06463042,0.45627848049282993
time_istest_model_claude,-0.033138156,-0.14211905,0.07596705,0.4585344938941488
time_istest_model_mistral,0.07813258,-0.033411104,0.18616769,0.3798686735479334
time_ground_truth_researched,0.25454345,0.18783727,0.3191521,0.0
time_ground_truth_researched_model_gpt4o,-0.013630685,-0.14875543,0.120290376,0.3716839186549522
time_ground_truth_researched_model_claude,0.0036911601,-0.12372149,0.13148257,0.3918432971634614
time_ground_truth_researched_model_mistral,0.008718975,-0.12116906,0.1386573,0.38487241702134106
time_ground_truth_istest,0.020869654,-0.045051,0.08623525,0.7239981494746421
time_ground_truth_istest_model_gpt4o,0.0062189056,-0.12504792,0.13284445,0.38775866037891094
time_ground_truth_istest_model_claude,-0.017363628,-0.14586265,0.10849958,0.3931401247237801
time_ground_truth_istest_model_mistral,0.010833116,-0.116849855,0.14266428,0.385335460839097
time_researched_istest,0.022420473,-0.04316774,0.08765568,0.7121640848116121
time_researched_istest_model_gpt4o,0.020016484,-0.10978843,0.14957671,0.38555682333948077
time_researched_istest_model_claude,-0.00035275807,-0.13013344,0.13013843,0.3842136417445713
time_researched_istest_model_mistral,-0.021171585,-0.15792596,0.1114184,0.37127191885078914
time_ground_truth_researched_istest,0.017891161,-0.09087526,0.1249481,0.4633418741070326
time_ground_truth_researched_istest_model_gpt4o,0.014344961,-0.13126643,0.15814382,0.34553026561177325
time_ground_truth_researched_istest_model_claude,-0.021644471,-0.16945018,0.12546115,0.33908497751825006
time_ground_truth_researched_istest_model_mistral,0.008236348,-0.13634123,0.15678746,0.3411470981951432
