Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0023512412,-0.1559974,0.16296525,0.31351633323477485
time,-0.0038235076,-0.017964154,0.010731407,1.0
ground_truth,0.6504219,0.63529897,0.6654877,0.0
researched,-0.015588525,-0.030382952,-0.00094104896,1.0
istest,0.014318265,-0.0005288557,0.029151205,1.0
sub_compliance,-0.020998899,-0.028419774,-0.013794103,1.0
ground_truth_researched,0.12538914,0.09544929,0.15464821,0.0
ground_truth_istest,0.030695004,0.0020923237,0.059245702,0.838230001814057
researched_istest,0.00079717557,-0.028430607,0.02994852,1.0
ground_truth_researched_istest,0.09738557,0.04151308,0.1544219,0.07516612788348864
time_ground_truth,0.15774524,0.12917273,0.1865121,0.0
time_researched,-0.01422593,-0.043376278,0.01514106,1.0
time_istest,0.0033017881,-0.026662653,0.03296446,1.0
time_ground_truth_researched,0.19917445,0.14279751,0.25547293,0.0
time_ground_truth_istest,0.01458186,-0.04016431,0.06927322,0.8238883983487305
time_researched_istest,0.0030060736,-0.052329924,0.059058044,0.8977630325667013
time_ground_truth_researched_istest,0.032265246,-0.061892908,0.12425918,0.537195152249995
