Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0027847982,-0.15925103,0.16409785,0.3092634805398963
time,-0.042461462,-0.07296334,-0.011668158,0.6253646623258156
ground_truth,0.66368103,0.63069236,0.69531757,0.0
researched,0.013608503,-0.01828365,0.04519797,1.0
istest,0.03668544,0.005140352,0.067908034,0.7146934018692573
sub_compliance,-0.015235034,-0.03110345,0.00079941336,1.0
ground_truth_researched,0.14861856,0.09128568,0.20579462,0.0
ground_truth_istest,-0.0139504345,-0.072345324,0.043768007,0.8075559142460274
researched_istest,0.024583302,-0.036315333,0.08475873,0.7129134992735974
ground_truth_researched_istest,-0.015287539,-0.11522215,0.08505336,0.4993121711466637
time_ground_truth,0.116910204,0.057907697,0.17577082,0.0
time_researched,0.03695267,-0.02205819,0.095133565,0.6148742296280114
time_istest,-0.014530021,-0.07528838,0.045784473,0.7911308979015113
time_ground_truth_researched,0.22735167,0.12741475,0.32693687,0.0
time_ground_truth_istest,-0.051482353,-0.14934763,0.047293916,0.49477801923268266
time_researched_istest,-0.083225295,-0.18526608,0.017210623,0.3319425049624047
time_ground_truth_researched_istest,0.02316335,-0.11606777,0.16109784,0.36079512613500375
