Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0010295958,-0.16359694,0.16140515,0.30769032981834776
time,-0.035079896,-0.060754154,-0.00919354,0.7914269635409258
ground_truth,0.7359542,0.70957243,0.7630171,0.0
researched,-0.00077571144,-0.026429985,0.024706222,1.0
istest,-0.008886228,-0.035492625,0.016810289,1.0
sub_compliance,0.0027487876,-0.033487406,0.03928987,1.0
model_sycophancy,0.026079267,-0.097702585,0.14842676,0.40629044640367085
model_persuasion,-0.02560105,-0.14956513,0.09406018,0.41046637868088026
ground_truth_researched,0.14815213,0.09723613,0.19866122,0.0
ground_truth_researched_model_sycophancy,0.058944527,-0.06791912,0.18733956,0.39175945060513295
ground_truth_researched_model_persuasion,-0.056632575,-0.18273596,0.07272224,0.39145346548052296
ground_truth_istest,0.07688336,0.026701871,0.12691446,0.23248705391858945
ground_truth_istest_model_sycophancy,-0.010847563,-0.1428653,0.12117048,0.3787365431897477
ground_truth_istest_model_persuasion,0.008875349,-0.120713584,0.1393714,0.38448971675989024
researched_istest,-0.02262309,-0.0726206,0.027609434,0.7743131528570864
researched_istest_model_sycophancy,0.009741818,-0.11412172,0.13394926,0.4031104240918389
researched_istest_model_persuasion,-0.011781884,-0.13809265,0.113405064,0.39761792554281306
ground_truth_researched_istest,0.08921396,-0.0009803135,0.1816428,0.27915586574449314
ground_truth_researched_istest_model_sycophancy,0.0717074,-0.07354815,0.21012343,0.3525203239732902
ground_truth_researched_istest_model_persuasion,-0.071962684,-0.21408035,0.06900211,0.35325396573899653
time_ground_truth,0.11817464,0.068773046,0.16949362,0.0
time_researched,0.044577196,-0.0042037684,0.09473624,0.5478447885465897
time_istest,-0.014509218,-0.0643417,0.036201477,0.8573577863330852
time_model_sycophancy,-0.023932839,-0.14528757,0.096757405,0.41314635358618923
time_model_persuasion,0.024300035,-0.096338384,0.14552045,0.413464329379972
time_ground_truth_model_sycophancy,0.009934321,-0.11468371,0.13734119,0.3967861961711406
time_ground_truth_model_persuasion,-0.008323934,-0.1332524,0.11953981,0.39558181101609363
time_researched_model_sycophancy,0.0071581197,-0.12087027,0.1326089,0.3945097260697598
time_researched_model_persuasion,-0.007887008,-0.13442935,0.12228807,0.38953336149096
time_istest_model_sycophancy,-0.03201973,-0.15708071,0.096123114,0.39493874285180264
time_istest_model_persuasion,0.030121038,-0.09522342,0.16027352,0.3913941177151587
time_ground_truth_researched,0.1968913,0.107700385,0.2877759,0.0
time_ground_truth_researched_model_sycophancy,0.012846972,-0.1259521,0.1547913,0.3561971659792244
time_ground_truth_researched_model_persuasion,-0.012450023,-0.14806096,0.12892818,0.3610249753784976
time_ground_truth_istest,-0.047189783,-0.13492914,0.04054608,0.5160049464406978
time_ground_truth_istest_model_sycophancy,-0.0077583697,-0.15055367,0.13205239,0.35384944729794915
time_ground_truth_istest_model_persuasion,0.010636369,-0.12642443,0.15084267,0.3606630594375904
time_researched_istest,-0.013074924,-0.10009077,0.07307347,0.5774864337655692
time_researched_istest_model_sycophancy,-0.026039166,-0.16495427,0.113450326,0.35918946623065434
time_researched_istest_model_persuasion,0.026699537,-0.119293645,0.17017578,0.3454596333031401
time_ground_truth_researched_istest,-0.06411934,-0.19910829,0.065931424,0.377301949105935
time_ground_truth_researched_istest_model_sycophancy,0.021420764,-0.13509548,0.1778978,0.3194956843548204
time_ground_truth_researched_istest_model_persuasion,-0.020223228,-0.17584586,0.13482718,0.32188180536013505
