Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.002106027,-0.1249261,0.122252166,0.40456631743017973
time,-0.029763108,-0.06026695,5.3006523e-05,0.8297918307930119
ground_truth,0.3555006,0.3237121,0.385866,0.0
researched,-0.004749509,-0.036622543,0.026308943,1.0
istest,0.0071202773,-0.023686243,0.03791127,1.0
sub_compliance,0.006683818,-0.008636822,0.022375382,1.0
model_gpt4o,0.0019640294,-0.07474296,0.077569075,0.656546945833471
model_claude,-0.012699776,-0.09046907,0.062366363,0.6542985379992308
model_mistral,0.011699671,-0.06449395,0.08650482,0.6622570776284322
ground_truth_researched,-0.029507428,-0.08612022,0.0278747,0.6831418590380127
ground_truth_researched_model_gpt4o,-0.0077594374,-0.10997744,0.09535122,0.4870240757689048
ground_truth_researched_model_claude,-0.007248777,-0.11167042,0.09803228,0.4768655807505342
ground_truth_researched_model_mistral,0.017178316,-0.08692337,0.120001905,0.48326624669103563
ground_truth_istest,-0.0061274106,-0.06231687,0.051556297,0.8781700228624464
ground_truth_istest_model_gpt4o,-0.08932528,-0.19726454,0.0142994765,0.3039244500245262
ground_truth_istest_model_claude,-0.041748382,-0.15165986,0.065295435,0.4609244462949197
ground_truth_istest_model_mistral,0.13091916,0.026757263,0.24036619,0.10880976543336693
researched_istest,0.0011405833,-0.05548095,0.0581375,0.880138757646917
researched_istest_model_gpt4o,-0.008135253,-0.11135185,0.09408755,0.4867615552247804
researched_istest_model_claude,0.0014229995,-0.10292284,0.10737416,0.4755179502739111
researched_istest_model_mistral,0.008967122,-0.095413566,0.11359162,0.4784570308761156
ground_truth_researched_istest,-0.015803214,-0.1027157,0.071073145,0.5754109228920877
ground_truth_researched_istest_model_gpt4o,0.026862644,-0.09110186,0.14522524,0.4231423234702596
ground_truth_researched_istest_model_claude,-0.021445548,-0.13847922,0.09857155,0.4218505699023602
ground_truth_researched_istest_model_mistral,-0.0058292327,-0.12426218,0.10918803,0.42835687538146494
time_ground_truth,-0.23067786,-0.28983924,-0.17009346,0.0
time_researched,-0.006366164,-0.06314575,0.050953064,0.8764333040237113
time_istest,0.027568955,-0.029474072,0.08497838,0.6943850580683666
time_model_gpt4o,0.023115126,-0.059886638,0.10885101,0.5926359781386832
time_model_claude,-0.02774985,-0.11317228,0.05871878,0.581763835340623
time_model_mistral,0.002799553,-0.08338549,0.09071874,0.5743685882592486
time_ground_truth_model_gpt4o,-0.06556225,-0.17172909,0.040413126,0.4261911128783842
time_ground_truth_model_claude,0.031673916,-0.07031865,0.1364976,0.4835210032045427
time_ground_truth_model_mistral,0.034270447,-0.07109453,0.13963532,0.4745412142591619
time_researched_model_gpt4o,0.009140408,-0.093931876,0.11378968,0.48141369154102515
time_researched_model_claude,-0.023467,-0.12698834,0.07960386,0.4840453925560262
time_researched_model_mistral,0.015747843,-0.08798252,0.122602485,0.4748676180619887
time_istest_model_gpt4o,-0.009075733,-0.11204232,0.09376759,0.4858852436340155
time_istest_model_claude,0.00898275,-0.09620211,0.116649374,0.46981114091516996
time_istest_model_mistral,0.00041181126,-0.104769334,0.10660989,0.4730833938326604
time_ground_truth_researched,-0.08068106,-0.16989928,0.010125709,0.3339853403794659
time_ground_truth_researched_model_gpt4o,0.014944708,-0.1027203,0.13159683,0.42677203936353486
time_ground_truth_researched_model_claude,-0.015473007,-0.13131723,0.09926101,0.4336922756133601
time_ground_truth_researched_model_mistral,0.00063638727,-0.11855868,0.11784426,0.4230065769149724
time_ground_truth_istest,-0.00011115033,-0.087336965,0.08763313,0.5715262278217392
time_ground_truth_istest_model_gpt4o,0.0007684802,-0.11586943,0.118778825,0.4261697958808351
time_ground_truth_istest_model_claude,0.0007250734,-0.11068818,0.113553375,0.44594767511866223
time_ground_truth_istest_model_mistral,-0.001077211,-0.11871628,0.11554711,0.4268699427204753
time_researched_istest,0.0064080716,-0.08403221,0.093733326,0.562538744872751
time_researched_istest_model_gpt4o,-0.018124735,-0.13175224,0.0970509,0.4370569476737721
time_researched_istest_model_claude,0.02531222,-0.089539334,0.1431841,0.4296945953672747
time_researched_istest_model_mistral,-0.0074955593,-0.12537596,0.109424874,0.4258928718186721
time_ground_truth_researched_istest,0.025270872,-0.08463381,0.13738567,0.4504109305864804
time_ground_truth_researched_istest_model_gpt4o,-0.011542417,-0.1319766,0.10885732,0.41522389646240704
time_ground_truth_researched_istest_model_claude,0.007107817,-0.11811391,0.13463931,0.3956428321773609
time_ground_truth_researched_istest_model_mistral,0.0053087897,-0.11164893,0.12483041,0.422869918197136
