Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.0024720877,-0.09392836,0.08720194,0.5520887526280911
time,-0.02558466,-0.057294644,0.005688338,0.8841807083919495
ground_truth,0.115041755,0.082565494,0.14835978,0.0
researched,-0.003923844,-0.036337018,0.02777103,1.0
istest,0.010025671,-0.022533964,0.04159726,1.0
sub_compliance,0.013732203,-0.0028035603,0.029658126,1.0
model_gpt4o,-0.007587168,-0.067866474,0.0530611,0.8269412430803263
model_claude,-0.008709767,-0.06757392,0.049712475,0.8501623325525197
model_mistral,0.01823304,-0.039800867,0.07841598,0.7596283232211265
ground_truth_researched,-0.02464036,-0.07827589,0.029530674,0.737716440702518
ground_truth_researched_model_gpt4o,-0.0040555014,-0.08704132,0.0782857,0.6048618066566299
ground_truth_researched_model_claude,-0.0046869414,-0.08631185,0.074036494,0.6236422494806378
ground_truth_researched_model_mistral,0.009563189,-0.073079355,0.09437148,0.5971902041173006
ground_truth_istest,-0.000692644,-0.05494068,0.054311816,0.9153109141558243
ground_truth_istest_model_gpt4o,-0.06530962,-0.15453987,0.01617384,0.3876304979844023
ground_truth_istest_model_claude,-0.024749974,-0.11105968,0.056866616,0.5954993472112794
ground_truth_istest_model_mistral,0.08918069,0.005128364,0.1803818,0.25603854486980765
researched_istest,-0.00739672,-0.061976623,0.047517493,0.8906185719341009
researched_istest_model_gpt4o,-0.008923526,-0.0923156,0.07209245,0.60824272114146
researched_istest_model_claude,0.005155932,-0.07744048,0.0887745,0.6016304901560569
researched_istest_model_mistral,0.004688831,-0.08043796,0.09121474,0.5825716795141769
ground_truth_researched_istest,-0.019027023,-0.09408874,0.056308486,0.6649058796964665
ground_truth_researched_istest_model_gpt4o,0.014526257,-0.07392151,0.10350317,0.5636194572859966
ground_truth_researched_istest_model_claude,-0.010551439,-0.10110167,0.07916687,0.5547279829873927
ground_truth_researched_istest_model_mistral,-0.0036415951,-0.09285219,0.08234242,0.5707938042434998
time_ground_truth,-0.19177154,-0.2568202,-0.12839064,0.0
time_researched,-0.013693552,-0.068267584,0.04107187,0.8329277923105182
time_istest,0.0180703,-0.035629664,0.0713127,0.8007085140506766
time_model_gpt4o,0.017376704,-0.05477667,0.09083133,0.6867754497414059
time_model_claude,-0.022090109,-0.09386115,0.048347294,0.6915714206826946
time_model_mistral,0.004380887,-0.06501674,0.0751797,0.7132848604612207
time_ground_truth_model_gpt4o,-0.04578753,-0.13163961,0.034647923,0.5090455012561084
time_ground_truth_model_claude,0.021570269,-0.06003444,0.106342874,0.6010434832452151
time_ground_truth_model_mistral,0.025515141,-0.05602366,0.10748088,0.61160379496964
time_researched_model_gpt4o,0.009119713,-0.07097275,0.0899587,0.6213825992241707
time_researched_model_claude,-0.0248892,-0.10936778,0.05760013,0.5989174813884314
time_researched_model_mistral,0.015766751,-0.07008418,0.10181051,0.5817515551996736
time_istest_model_gpt4o,-0.006289366,-0.08994983,0.078397855,0.5940087568870688
time_istest_model_claude,0.0073622866,-0.07258154,0.088739395,0.619882358912604
time_istest_model_mistral,-0.0014980047,-0.085014366,0.08180848,0.5994382906420972
time_ground_truth_researched,-0.06438578,-0.14450747,0.009799626,0.38753646627191995
time_ground_truth_researched_model_gpt4o,0.010535156,-0.07752138,0.10232919,0.5560171628360819
time_ground_truth_researched_model_claude,-0.014381575,-0.10413213,0.07193078,0.567978792391139
time_ground_truth_researched_model_mistral,0.0042096004,-0.08502376,0.09323346,0.560987096535008
time_ground_truth_istest,-0.0054090833,-0.08074129,0.068780996,0.6687966404732661
time_ground_truth_istest_model_gpt4o,0.00036549816,-0.087774865,0.08899513,0.5657068692736857
time_ground_truth_istest_model_claude,0.0010299468,-0.08494267,0.087504975,0.5798861473517285
time_ground_truth_istest_model_mistral,-0.0011341937,-0.088990845,0.08775558,0.5657822968435373
time_researched_istest,0.0049311067,-0.07217443,0.082250126,0.6475654057197175
time_researched_istest_model_gpt4o,-0.0056884103,-0.09464123,0.081300795,0.5683690373968342
time_researched_istest_model_claude,0.009590834,-0.07678264,0.0971777,0.5748436830860797
time_researched_istest_model_mistral,-0.004714679,-0.0965194,0.08626195,0.547101758654989
time_ground_truth_researched_istest,0.015917173,-0.06796174,0.1027592,0.5857512441423884
time_ground_truth_researched_istest_model_gpt4o,-0.004204071,-0.09390855,0.084744744,0.5597433928038436
time_ground_truth_researched_istest_model_claude,0.00092512905,-0.08669361,0.08975613,0.5667336255778115
time_ground_truth_researched_istest_model_mistral,0.0036033832,-0.08554302,0.09557385,0.552129678213031
