Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,-0.00074183504,-0.10544222,0.10515242,0.4748458953579296
time,-0.012861563,-0.038324717,0.01255083,1.0
ground_truth,0.21434937,0.188437,0.23997724,0.0
researched,-0.008939558,-0.035047002,0.01667833,1.0
istest,-0.014974654,-0.040352404,0.010486568,1.0
sub_compliance,0.0020274431,-0.010843575,0.014785626,1.0
ground_truth_researched,-0.022031963,-0.068567544,0.024898926,0.8013453999247381
ground_truth_istest,-0.00344919,-0.048675716,0.0429452,1.0
researched_istest,-0.0071727806,-0.055917587,0.0397763,0.938161283219878
ground_truth_researched_istest,0.014654488,-0.059718248,0.09070884,0.6647739028388907
time_ground_truth,-0.24270594,-0.2936467,-0.19315477,0.0
time_researched,-0.023713075,-0.070350714,0.02321383,0.7824954498202962
time_istest,0.02876997,-0.017901693,0.07486423,0.7319680536998674
time_ground_truth_researched,-0.04572876,-0.12075302,0.028536014,0.5260668650140601
time_ground_truth_istest,-0.01632565,-0.08986195,0.05772618,0.677561264183524
time_researched_istest,0.04495231,-0.031176703,0.12022306,0.536174570427406
time_ground_truth_researched_istest,-0.007190926,-0.10119188,0.08604686,0.534077515688146
