Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.0060773464,-0.26753402,0.28143927,0.18215822415552857
time,-0.042484567,-0.07929036,-0.005379211,0.6037084988271139
ground_truth,0.3464158,0.304646,0.38723522,0.0
researched,0.004505106,-0.032305904,0.04147019,1.0
istest,0.035150684,-0.0026124585,0.071935765,0.7057506635035009
vote,-0.05027898,-0.09231619,-0.0071757147,0.5029838768437424
sub_compliance,-0.015695697,-0.034469776,0.003014761,1.0
ground_truth_researched,0.17778826,0.106492855,0.24927737,0.0
ground_truth_istest,-0.041828632,-0.114078894,0.031332865,0.5593279771372778
ground_truth_vote,1.9938095,1.9074713,2.079826,0.0
researched_istest,0.04380706,-0.026635854,0.11544159,0.5393949338522929
ground_truth_researched_istest,-0.08146369,-0.21029001,0.04583967,0.3741841588966181
time_ground_truth,0.13218445,0.057137802,0.20571418,0.0
time_researched,0.034409158,-0.03556683,0.10669948,0.601455317797996
time_istest,-0.011553082,-0.083656855,0.059610613,0.6979951670999178
time_ground_truth_researched,0.29669526,0.15920003,0.42833993,0.0
time_ground_truth_istest,-0.081156656,-0.21182828,0.047656048,0.3763466183870506
time_researched_istest,-0.12512116,-0.25726765,0.011312924,0.22828502612122217
time_ground_truth_researched_istest,0.06950524,-0.1377854,0.27422658,0.24271138852505075
