Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.015005765,-0.25602174,0.28344885,0.1853669191872179
time,-0.042655114,-0.08382819,-0.0022178313,0.5854914785598394
ground_truth,0.34625557,0.3047449,0.3866956,0.0
researched,0.009149453,-0.03282762,0.05011098,0.9986618912316353
istest,0.02499359,-0.016606523,0.065376915,0.8124387625420819
vote,-0.050148275,-0.091407396,-0.008058386,0.5032047061947978
sub_compliance,-0.015629187,-0.034385838,0.0030082788,1.0
ground_truth_researched,0.23994249,0.1609195,0.31698975,0.0
ground_truth_istest,-0.04957683,-0.12777661,0.02956205,0.5056738840421174
ground_truth_vote,1.9951187,1.9114689,2.0779514,0.0
researched_istest,0.033608597,-0.042844266,0.11020622,0.6066251103587912
researched_vote,-0.0200738,-0.101838954,0.059569288,0.6195470495257133
istest_vote,0.04605343,-0.03366216,0.12649943,0.5223609472312606
ground_truth_researched_istest,-0.09325997,-0.22655393,0.04388114,0.34714854026818226
ground_truth_researched_vote,-0.29946685,-0.4385638,-0.15534279,0.0
ground_truth_istest_vote,0.0418632,-0.10222398,0.18433975,0.3489625222154727
researched_istest_vote,0.050610818,-0.08980156,0.19098319,0.3561446999387656
ground_truth_researched_istest_vote,0.059584387,-0.15412237,0.2740242,0.2335648823842913
time_ground_truth,0.15976624,0.08164508,0.23658572,0.0
time_researched,0.026860204,-0.05178013,0.10543619,0.6360662743749265
time_istest,-0.02030428,-0.09651874,0.05852702,0.6449708827142019
time_vote,0.0028908583,-0.075285606,0.0816663,0.6371378572817422
time_ground_truth_researched,0.28997755,0.15627035,0.4261265,0.0
time_ground_truth_istest,-0.085181735,-0.2227819,0.050390612,0.3660690469676147
time_ground_truth_vote,-0.13261107,-0.26994163,0.0065810247,0.20461623732297848
time_researched_istest,-0.14150473,-0.2767139,-0.0015436221,0.17609596827996515
time_researched_vote,0.041842405,-0.09779744,0.18131629,0.3582768997178742
time_istest_vote,0.039413422,-0.10350264,0.1820093,0.3502480574303805
time_ground_truth_researched_istest,0.069847286,-0.13589014,0.2787806,0.24115518126059923
time_ground_truth_researched_vote,0.03861047,-0.16947591,0.24965264,0.23859028334844504
time_ground_truth_istest_vote,0.02799402,-0.18832934,0.24289133,0.23189983222829172
time_researched_istest_vote,0.08854502,-0.124510214,0.30205297,0.23443185608022812
time_ground_truth_researched_istest_vote,0.00166139,-0.25394684,0.2555979,0.19625362421745798
