Parameter,Mean,HDI_2.5%,HDI_97.5%,rope_overlap
Intercept,0.003145032,-0.16194054,0.17486086,0.2969108712541522
time,-0.03775068,-0.0735888,-0.0024574494,0.668376853586574
ground_truth,0.7302466,0.6925741,0.7683119,0.0
researched,0.0067048334,-0.030014172,0.043202516,1.0
istest,0.035871044,1.8014842e-05,0.07165746,0.6976880895617539
sub_compliance,-0.014018189,-0.032380857,0.0039590853,1.0
ground_truth_researched,0.15075289,0.084789716,0.21695668,0.0
ground_truth_istest,-0.039273065,-0.10705202,0.028530132,0.5792070005550479
researched_istest,0.03733419,-0.032023057,0.107771754,0.5867389239917706
ground_truth_researched_istest,-0.05039288,-0.16103148,0.0616597,0.44905234867353844
time_ground_truth,0.11282674,0.047363512,0.17894468,0.020036969455891056
time_researched,0.03720421,-0.030478738,0.10461217,0.5957376281568169
time_istest,-0.022105223,-0.0895841,0.045611408,0.7072084807620522
time_ground_truth_researched,0.20239761,0.08959589,0.31959996,0.0
time_ground_truth_istest,-0.05163255,-0.15765834,0.05726206,0.4652885486968745
time_researched_istest,-0.091006555,-0.2071093,0.023025803,0.31731709550935144
time_ground_truth_researched_istest,0.034655236,-0.11180273,0.18295164,0.3392655370801872
